Id hecho,Vehículo_víctima,Sexo,Edad_víctima,Gravedad
LC-2019-0034889,Sd,M,80,Sd
LC-2019-0034914,Sd,SD,SD,Sd
LC-2019-0034915,Sd,M,33,Sd
LC-2019-0034987,Sd,M,48,Sd
LC-2019-0035011,Sd,F,24,Sd
LC-2019-0035269,Sd,F,43,Sd
LC-2019-0035598,Sd,M,23,Sd
LC-2019-0035702,Sd,M,45,Sd
LC-2019-0035843,Sd,F,43,Sd
LC-2019-0035861,Sd,M,28,Sd
LC-2019-0035884,Sd,F,65,Sd
LC-2019-0035947,Sd,M,39,Sd
LC-2019-0036035,Sd,F,27,Sd
LC-2019-0036051,Sd,F,31,Sd
LC-2019-0036157,Sd,M,32,Sd
LC-2019-0036172,Sd,F,23,Sd
LC-2019-0036233,Sd,F,SD,Sd
LC-2019-0036257,Sd,F,SD,Sd
LC-2019-0045960,Sd,F,66,Sd
LC-2019-0033624,Sd,M,26,Sd
LC-2019-0036239,Sd,M,27,Sd
LC-2019-0036324,Sd,M,21,Sd
LC-2019-0036508,Sd,M,32,Sd
LC-2019-0036547,Sd,M,SD,Sd
LC-2019-0036762,Sd,F,25,Sd
LC-2019-0037490,Sd,M,41,Sd
LC-2019-0037547,Sd,F,41,Sd
LC-2019-0037563,Sd,F,71,Sd
LC-2019-0037776,Sd,M,31,Sd
LC-2019-0037791,Sd,F,67,Sd
LC-2019-0037893,Sd,F,24,Sd
LC-2019-0037893,Sd,F,1,Sd
LC-2019-0037898,Sd,M,52,Sd
LC-2019-0037918,Sd,M,SD,Sd
LC-2019-0037939,Sd,SD,SD,Sd
LC-2019-0037956,Sd,M,37,Sd
LC-2019-0037998,Sd,M,24,Sd
LC-2019-0038196,Sd,SD,SD,Sd
LC-2019-0038545,Sd,M,33,Sd
LC-2019-0038664,Sd,M,70,Sd
LC-2019-0038880,Sd,F,38,Sd
LC-2019-0038880,Sd,M,38,Sd
LC-2019-0038915,Sd,F,SD,Sd
LC-2019-0039050,Sd,F,SD,Sd
LC-2019-0039169,Sd,F,36,Sd
LC-2019-0039296,Sd,M,42,Sd
LC-2019-0039419,Sd,M,33,Sd
LC-2019-0039494,Sd,F,SD,Sd
LC-2019-0040008,Sd,M,SD,Sd
LC-2019-0040436,Sd,M,44,Sd
LC-2019-0052190,Sd,F,SD,Sd
LC-2019-0054502,Sd,M,38,Sd
LC-2019-0081956,Sd,M,39,Sd
LC-2019-0039446,Sd,F,17,Sd
LC-2019-0039502,Sd,M,23,Sd
LC-2019-0039502,Sd,M,27,Sd
LC-2019-0039583,Sd,M,79,Sd
LC-2019-0039611,Sd,M,27,Sd
LC-2019-0039636,Sd,M,20,Sd
LC-2019-0039736,Sd,F,27,Sd
LC-2019-0039781,Sd,M,85,Sd
LC-2019-0040002,Sd,M,37,Sd
LC-2019-0040015,Sd,M,52,Sd
LC-2019-0040126,Sd,F,49,Sd
LC-2019-0040126,Sd,M,49,Sd
LC-2019-0040126,Sd,F,SD,Sd
LC-2019-0040179,Sd,M,61,Sd
LC-2019-0040179,Sd,F,61,Sd
LC-2019-0040286,Sd,F,SD,Sd
LC-2019-0040286,Sd,M,SD,Sd
LC-2019-0028782,Sd,F,6,Sd
LC-2019-0040616,Sd,F,37,Sd
LC-2019-0041689,Sd,M,26,Sd
LC-2019-0042297,Sd,F,64,Sd
LC-2019-0044720,Sd,F,19,Sd
